62179, 1194, 679
62181, 1269, 1089
62182, 1293, 859
62184, 1967, 959
62186, 1667, 1022
62187, 1048, 929
62188, 1934, 959
62189, 1857, 829
62191, 1361, 590
62193, 2244, 940
62194, 1251, 805
62195, 1179, 761
62198, 1485, 1048
62201, 1675, 982
62202, 1739, 912
62203, 1106, 807
62206, 892, 871
62208, 1405, 933
62217, 1897, 815
62218, 2199, 952
62219, 1380, 1142
62220, 2202, 1511
62221, 1544, 1316
62222, 1623, 1086
62224, 1965, 1002
62227, 2388, 956
62228, 970, 774
62229, 1070, 763
62230, 1801, 1010
62231, 1088, 878
62234, 1408, 773
62235, 1083, 742
62236, 1437, 766
62237, 1509, 918
62239, 976, 1212
62241, 1118, 1007
62242, 1754, 774
62243, 1322, 1341
62244, 1283, 669
62245, 860, 899
62249, 1038, 844
62251, 2412, 1510
62252, 1178, 856
62254, 1535, 1069
62255, 1105, 788
62256, 1738, 1113
62257, 1749, 1012
62260, 1832, 895
62261, 1689, 1214
62262, 2004, 1112
62263, 2281, 1060
62264, 1414, 757
62265, 1140, 752
62267, 2436, 1292
62271, 1844, 796
62272, 2115, 827
62273, 995, 789
62275, 1761, 1156
62278, 1038, 870
62279, 1891, 1044
62281, 2197, 1044
62285, 1094, 926
62286, 994, 787
62288, 988, 946
62289, 1740, 1018
62293, 957, 867
62294, 1953, 906
62295, 1988, 1061
62300, 2372, 1002
62301, 1365, 1075
62302, 1804, 1006
62303, 1732, 815
62304, 2253, 1371
62305, 1025, 1011
62306, 2157, 1055
62307, 1295, 1012
62316, 1656, 1068
62317, 1487, 1020
62318, 1553, 1086
62319, 1909, 1083
62320, 1619, 952
62321, 2358, 874
62322, 1610, 1065
62324, 1415, 952
62327, 1337, 1021
62330, 1758, 864
62331, 1038, 727
62333, 1401, 1033
62336, 1437, 1043
62338, 813, 783
62339, 1932, 1106
62341, 1926, 724
62345, 1830, 1180
62346, 1242, 769
62348, 1767, 924
62351, 1191, 1039
62353, 664, 980
62355, 1261, 804
62362, 1235, 996
62364, 1044, 659
62366, 1478, 976
62368, 1392, 677
